X,Y
831,434
831,434
831,433
832,433
833,434
833,434
834,436
832,434
833,434
832,433
831,433
832,434
832,434
832,432
832,434
832,434
833,434
832,433
832,434
833,434
833,434
832,434
831,434
831,433
832,433
833,434
834,434
830,344
833,434
834,434
610,385
833,434
538,393
833,433
462,399
832,433
392,409
832,434
328,421
268,431
832,434
215,443
834,434
166,453
833,434
124,463
830,433
87,473
832,433
55,482
832,433
832,433
833,434
832,434
830,433
832,433
