X,Y
860.00,331.00
831.00,334.50
774.00,335.00
714.50,342.00
672.50,349.00
633.00,357.00
599.00,366.50
564.50,374.50
536.50,384.00
511.00,393.00
491.50,401.50
472.50,411.50
